||||Sütunlar|
|||2009|82.0|
|||2010|104.0|
|||2011|94.0|
|||2012|116.0|
|||2013|132.0|
|||2014|150.0|
|||2015|144.0|
|||2016|129.0|
|||2017|134.0|
|||2018|177.0|
|||2019|236.0|
|||2020|175.0|
||Tekirdağ, Edirne, Kırklareli-TR21|2001|145.0|
|||2002|166.0|
|||2003|155.0|
|||2004|172.0|
|||2005|192.0|
|||2006|186.0|
|||2007|205.0|
|||2008|228.0|
|||2009|258.0|
|||2010|235.0|
|||2011|293.0|
|||2012|257.0|
|||2013|265.0|
|||2014|311.0|
|||2015|338.0|
|||2016|304.0|
|||2017|331.0|
|||2018|363.0|
|||2019|402.0|
|||2020|319.0|
||Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane-TR90|2001|199.0|
|||2002|215.0|
|||2003|225.0|
|||2004|206.0|
|||2005|160.0|
|||2006|156.0|
|||2007|170.0|
|||2008|167.0|
|||2009|181.0|
|||2010|207.0|
|||2011|201.0|
|||2012|186.0|
|||2013|205.0|
|||2014|205.0|
|||2015|227.0|
|||2016|204.0|
|||2017|225.0|
|||2018|266.0|
|||2019|288.0|
|||2020|274.0|
||Van, Muş, Bitlis, Hakkari-TRB2|2001|18.0|
|||2002|21.0|
|||2003|25.0|
|||2004|25.0|
|||2005|17.0|
|||2006|29.0|
|||2007|24.0|
|||2008|28.0|
|||2009|22.0|
|||2010|46.0|
|||2011|36.0|
|||2012|44.0|
|||2013|38.0|
|||2014|26.0|
|||2015|40.0|
|||2016|60.0|
|||2017|44.0|
|||2018|53.0|
|||2019|79.0|
|||2020|72.0|
||Zonguldak, Karabük, Bartın-TR81|2001|164.0|
|||2002|191.0|
|||2003|194.0|
|||2004|166.0|
|||2005|152.0|
|||2006|120.0|
|||2007|146.0|
|||2008|152.0|
|||2009|148.0|
|||2010|144.0|
|||2011|169.0|
|||2012|149.0|
|||2013|142.0|
|||2014|164.0|
|||2015|169.0|
|||2016|154.0|
|||2017|135.0|
|||2018|186.0|
|||2019|214.0|
|||2020|159.0|
|Eşlerin yaş farkı:4|Adana, Mersin-TR62|2001|462.0|
|||2002|481.0|
|||2003|433.0|
|||2004|448.0|
|||2005|403.0|
|||2006|387.0|
|||2007|450.0|
|||2008|478.0|
|||2009|531.0|
|||2010|499.0|
|||2011|591.0|
|||2012|551.0|
|||2013|641.0|
|||2014|633.0|
|||2015|657.0|
|||2016|645.0|
|||2017|618.0|
|||2018|708.0|
|||2019|790.0|
|||2020|697.0|
||Ağrı, Kars, Iğdır, Ardahan-TRA2|2001|39.0|
|||2002|45.0|
|||2003|39.0|
|||2004|32.0|
|||2005|35.0|
|||2006|33.0|
|||2007|32.0|
|||2008|27.0|
|||2009|29.0|
|||2010|40.0|
|||2011|40.0|
|||2012|45.0|
|||2013|59.0|
|||2014|48.0|
|||2015|47.0|
|||2016|44.0|
|||2017|31.0|
|||2018|46.0|
|||2019|59.0|
|||2020|50.0|
||Ankara-TR51|2001|729.0|
|||2002|674.0|
|||2003|707.0|
|||2004|641.0|
|||2005|748.0|
|||2006|707.0|
|||2007|725.0|
|||2008|782.0|
|||2009|880.0|
|||2010|903.0|
|||2011|888.0|
|||2012|1071.0|
|||2013|1028.0|
|||2014|1042.0|
|||2015|924.0|
|||2016|927.0|
|||2017|969.0|
|||2018|1019.0|
|||2019|1206.0|
|||2020|984.0|
||Antalya, Isparta, Burdur-TR61|2001|328.0|
|||2002|337.0|
|||2003|327.0|
|||2004|327.0|
|||2005|338.0|
|||2006|377.0|
|||2007|389.0|
|||2008|361.0|
|||2009|490.0|
|||2010|525.0|
|||2011|568.0|
|||2012|526.0|
|||2013|549.0|
|||2014|603.0|
|||2015|587.0|
|||2016|478.0|
|||2017|530.0|
|||2018|642.0|
|||2019|664.0|
|||2020|603.0|
||Aydın, Denizli, Muğla-TR32|2001|394.0|
|||2002|430.0|
|||2003|403.0|
|||2004|397.0|
|||2005|443.0|
|||2006|435.0|
|||2007|426.0|
|||2008|488.0|
|||2009|520.0|
|||2010|558.0|
|||2011|540.0|
|||2012|492.0|
|||2013|520.0|
|||2014|552.0|
|||2015|626.0|
|||2016|628.0|
|||2017|585.0|
|||2018|645.0|
|||2019|692.0|
|||2020|624.0|
||Balıkesir, Çanakkale-TR22|2001|193.0|
|||2002|213.0|
|||2003|213.0|
|||2004|227.0|
|||2005|236.0|
|||2006|201.0|
|||2007|230.0|
|||2008|211.0|
|||2009|244.0|
|||2010|298.0|
|||2011|290.0|
|||2012|284.0|
|||2013|306.0|
|||2014|278.0|
|||2015|314.0|
|||2016|304.0|
|||2017|313.0|
|||2018|343.0|
|||2019|340.0|
|||2020|334.0|
||Bursa, Eskişehir, Bilecik-TR41|2001|377.0|
|||2002|385.0|
|||2003|422.0|
|||2004|364.0|
|||2005|427.0|
|||2006|371.0|
|||2007|468.0|
|||2008|515.0|
|||2009|525.0|
|||2010|621.0|
|||2011|624.0|
|||2012|670.0|
|||2013|643.0|
|||2014|690.0|
|||2015|672.0|
|||2016|725.0|
|||2017|677.0|
|||2018|722.0|
|||2019|810.0|
|||2020|716.0|
||Erzurum, Erzincan, Bayburt-TRA1|2001|37.0|
|||2002|52.0|
|||2003|56.0|
|||2004|49.0|
|||2005|44.0|
|||2006|58.0|
|||2007|46.0|
|||2008|45.0|
|||2009|35.0|
|||2010|55.0|
|||2011|47.0|
|||2012|42.0|
|||2013|68.0|
|||2014|71.0|
|||2015|71.0|
|||2016|74.0|
|||2017|62.0|
|||2018|71.0|
|||2019|86.0|
|||2020|57.0|
||Gaziantep, Adıyaman, Kilis-TRC1|2001|188.0|
|||2002|172.0|
|||2003|174.0|
|||2004|161.0|
|||2005|181.0|
|||2006|157.0|
|||2007|143.0|
|||2008|157.0|
|||2009|195.0|
|||2010|221.0|
|||2011|215.0|
|||2012|263.0|
|||2013|247.0|
|||2014|258.0|
|||2015|261.0|
|||2016|252.0|
|||2017|266.0|
|||2018|294.0|
|||2019|314.0|
|||2020|336.0|
||Hatay, Kahramanmaraş, Osmaniye-TR63|2001|211.0|
|||2002|215.0|
|||2003|242.0|
|||2004|255.0|
|||2005|243.0|
|||2006|202.0|
|||2007|261.0|
|||2008|237.0|
|||2009|257.0|
|||2010|324.0|
|||2011|298.0|
|||2012|333.0|
|||2013|351.0|
|||2014|348.0|
|||2015|364.0|
|||2016|353.0|
|||2017|334.0|
|||2018|408.0|
|||2019|514.0|
|||2020|421.0|
||İstanbul-TR10|2001|1528.0|
|||2002|1725.0|
|||2003|1586.0|
|||2004|1638.0|
|||2005|1837.0|
|||2006|1841.0|
|||2007|1813.0|
|||2008|1764.0|
|||2009|2149.0|
|||2010|2229.0|
|||2011|2200.0|
|||2012|2278.0|
|||2013|2376.0|
|||2014|2403.0|
|||2015|2473.0|
|||2016|2281.0|
|||2017|2405.0|
|||2018|2606.0|
|||2019|2650.0|
|||2020|2393.0|
||İzmir-TR31|2001|717.0|
|||2002|679.0|
|||2003|667.0|
|||2004|697.0|
|||2005|736.0|
|||2006|787.0|
|||2007|776.0|
|||2008|805.0|
|||2009|915.0|
|||2010|1024.0|
|||2011|951.0|
|||2012|911.0|
|||2013|978.0|
|||2014|961.0|
|||2015|1028.0|
|||2016|1000.0|
|||2017|1015.0|
|||2018|995.0|
|||2019|1080.0|
|||2020|935.0|
||Kastamonu, Çankırı, Sinop-TR82|2001|68.0|
|||2002|70.0|
|||2003|57.0|
|||2004|55.0|
|||2005|56.0|
|||2006|56.0|
|||2007|53.0|
|||2008|52.0|
|||2009|79.0|
|||2010|90.0|
|||2011|79.0|
|||2012|80.0|
|||2013|81.0|
|||2014|78.0|
|||2015|87.0|
|||2016|77.0|
|||2017|69.0|
|||2018|110.0|
|||2019|91.0|
|||2020|68.0|
||Kayseri, Sivas, Yozgat-TR72|2001|314.0|
|||2002|304.0|
|||2003|263.0|
|||2004|255.0|
|||2005|270.0|
|||2006|221.0|
|||2007|249.0|
|||2008|256.0|
|||2009|251.0|
|||2010|316.0|
|||2011|307.0|
|||2012|317.0|
|||2013|323.0|
|||2014|347.0|
|||2015|378.0|
|||2016|314.0|
|||2017|320.0|
|||2018|354.0|
|||2019|389.0|
|||2020|356.0|
||Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir-TR71|2001|272.0|
|||2002|283.0|
|||2003|242.0|
|||2004|209.0|
|||2005|245.0|
|||2006|202.0|
|||2007|201.0|
|||2008|201.0|
|||2009|273.0|
|||2010|257.0|
|||2011|225.0|
|||2012|257.0|
|||2013|231.0|
|||2014|252.0|
|||2015|237.0|
|||2016|242.0|
|||2017|243.0|
|||2018|228.0|
|||2019|274.0|
|||2020|250.0|
||Kocaeli, Sakarya, Düzce, Bolu, Yalova-TR42|2001|296.0|
|||2002|309.0|
|||2003|302.0|
|||2004|292.0|
|||2005|359.0|
|||2006|335.0|
|||2007|349.0|
|||2008|389.0|
|||2009|427.0|
|||2010|482.0|
|||2011|472.0|
|||2012|473.0|
|||2013|542.0|
|||2014|505.0|
|||2015|539.0|
|||2016|538.0|
|||2017|547.0|
|||2018|606.0|
|||2019|733.0|
|||2020|639.0|
||Konya, Karaman-TR52|2001|299.0|
|||2002|235.0|
|||2003|292.0|
|||2004|280.0|
|||2005|255.0|
|||2006|260.0|
|||2007|256.0|
|||2008|229.0|
|||2009|311.0|
|||2010|321.0|
|||2011|331.0|
|||2012|385.0|
|||2013|382.0|
|||2014|348.0|
|||2015|381.0|
|||2016|322.0|
|||2017|357.0|
|||2018|362.0|
|||2019|413.0|
|||2020|382.0|
||Malatya, Elazığ, Bingöl, Tunceli-TRB1|2001|105.0|
|||2002|108.0|
|||2003|92.0|
|||2004|106.0|
|||2005|110.0|
|||2006|101.0|
|||2007|88.0|
|||2008|87.0|
|||2009|135.0|
|||2010|118.0|
|||2011|141.0|
|||2012|142.0|
|||2013|117.0|
|||2014|149.0|
|||2015|142.0|
|||2016|154.0|
|||2017|136.0|
|||2018|167.0|
|||2019|231.0|
|||2020|156.0|
||Manisa, Afyonkarahisar, Kütahya, Uşak-TR33|2001|466.0|
|||2002|431.0|
|||2003|431.0|
|||2004|410.0|
|||2005|359.0|
|||2006|321.0|
|||2007|371.0|
|||2008|373.0|
|||2009|404.0|
|||2010|471.0|
|||2011|511.0|
|||2012|476.0|
|||2013|448.0|
|||2014|452.0|
|||2015|497.0|
|||2016|446.0|
|||2017|453.0|
|||2018|517.0|
|||2019|533.0|
|||2020|458.0|
||Mardin, Batman, Şırnak, Siirt-TRC3|2001|16.0|
|||2002|26.0|
|||2003|23.0|
|||2004|28.0|
|||2005|31.0|
|||2006|33.0|
|||2007|27.0|
|||2008|31.0|
|||2009|47.0|
|||2010|43.0|
|||2011|45.0|
|||2012|39.0|
|||2013|47.0|
|||2014|48.0|
|||2015|51.0|
|||2016|45.0|
|||2017|57.0|
|||2018|74.0|
|||2019|95.0|
|||2020|65.0|
||Samsun, Tokat, Çorum, Amasya-TR83|2001|239.0|
|||2002|274.0|
|||2003|270.0|
|||2004|275.0|
|||2005|238.0|
|||2006|228.0|
|||2007|249.0|
|||2008|239.0|
|||2009|274.0|
|||2010|310.0|
|||2011|332.0|
|||2012|287.0|
|||2013|322.0|
|||2014|291.0|
|||2015|330.0|
|||2016|301.0|
|||2017|314.0|
|||2018|354.0|
|||2019|394.0|
|||2020|304.0|
||Şanlıurfa, Diyarbakır-TRC2|2001|66.0|
|||2002|63.0|
|||2003|68.0|
|||2004|76.0|
|||2005|80.0|
|||2006|78.0|
|||2007|88.0|
|||2008|80.0|
|||2009|94.0|
|||2010|113.0|
|||2011|114.0|
|||2012|89.0|
|||2013|118.0|
|||2014|154.0|
|||2015|144.0|
|||2016|140.0|
|||2017|130.0|
|||2018|162.0|
|||2019|178.0|
|||2020|170.0|
||Tekirdağ, Edirne, Kırklareli-TR21|2001|162.0|
|||2002|180.0|
|||2003|176.0|
|||2004|204.0|
|||2005|196.0|
|||2006|187.0|
|||2007|199.0|
|||2008|205.0|
|||2009|266.0|
|||2010|240.0|
|||2011|279.0|
|||2012|230.0|
|||2013|254.0|
|||2014|299.0|
|||2015|311.0|
|||2016|290.0|
|||2017|305.0|
|||2018|358.0|
|||2019|384.0|
|||2020|309.0|
||Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane-TR90|2001|161.0|
|||2002|196.0|
|||2003|192.0|
|||2004|163.0|
|||2005|135.0|
|||2006|169.0|
|||2007|173.0|
|||2008|188.0|
|||2009|197.0|
|||2010|180.0|
|||2011|203.0|
|||2012|213.0|
|||2013|205.0|
|||2014|226.0|
|||2015|253.0|
|||2016|203.0|
|||2017|212.0|
|||2018|243.0|
|||2019|303.0|
|||2020|263.0|
||Van, Muş, Bitlis, Hakkari-TRB2|2001|6.0|
|||2002|16.0|
|||2003|21.0|
|||2004|16.0|
|||2005|18.0|
|||2006|20.0|
|||2007|14.0|
|||2008|30.0|
|||2009|31.0|
|||2010|32.0|
|||2011|26.0|
|||2012|24.0|
|||2013|45.0|
|||2014|43.0|
|||2015|41.0|
|||2016|57.0|
|||2017|46.0|
|||2018|64.0|
|||2019|79.0|
|||2020|64.0|
||Zonguldak, Karabük, Bartın-TR81|2001|178.0|
|||2002|165.0|
|||2003|189.0|
|||2004|162.0|
|||2005|155.0|
|||2006|117.0|
|||2007|132.0|
|||2008|143.0|
|||2009|172.0|
|||2010|140.0|
|||2011|142.0|
|||2012|140.0|
|||2013|161.0|
|||2014|165.0|
|||2015|155.0|
|||2016|160.0|
|||2017|146.0|
|||2018|178.0|
|||2019|174.0|
|||2020|148.0|
|Eşlerin yaş farkı:5|Adana, Mersin-TR62|2001|441.0|
|||2002|399.0|
|||2003|401.0|
|||2004|389.0|
|||2005|409.0|
|||2006|414.0|
|||2007|463.0|
|||2008|458.0|
|||2009|520.0|
|||2010|555.0|
|||2011|555.0|
|||2012|548.0|
|||2013|557.0|
|||2014|626.0|
|||2015|619.0|
|||2016|592.0|
|||2017|577.0|
|||2018|659.0|
|||2019|743.0|
|||2020|680.0|
||Ağrı, Kars, Iğdır, Ardahan-TRA2|2001|39.0|
|||2002|31.0|
|||2003|38.0|
|||2004|37.0|
|||2005|34.0|
|||2006|37.0|
|||2007|36.0|
|||2008|33.0|
|||2009|35.0|
|||2010|37.0|
|||2011|48.0|
|||2012|43.0|
|||2013|47.0|
|||2014|43.0|
|||2015|44.0|
|||2016|47.0|
|||2017|47.0|
|||2018|49.0|
|||2019|72.0|
|||2020|58.0|
||Ankara-TR51|2001|625.0|
|||2002|653.0|
|||2003|582.0|
|||2004|594.0|
|||2005|697.0|
|||2006|685.0|
|||2007|675.0|
|||2008|726.0|
|||2009|891.0|
|||2010|834.0|
|||2011|881.0|
|||2012|942.0|
|||2013|898.0|
|||2014|916.0|
|||2015|900.0|
|||2016|872.0|
|||2017|858.0|
|||2018|941.0|
|||2019|1061.0|
|||2020|872.0|
||Antalya, Isparta, Burdur-TR61|2001|312.0|
|||2002|310.0|
|||2003|276.0|
|||2004|291.0|
|||2005|352.0|
|||2006|359.0|
|||2007|393.0|
|||2008|347.0|
|||2009|472.0|
|||2010|518.0|
|||2011|498.0|
|||2012|476.0|
|||2013|541.0|
|||2014|511.0|
|||2015|558.0|
|||2016|515.0|
|||2017|517.0|
|||2018|609.0|
|||2019|664.0|
|||2020|559.0|
||Aydın, Denizli, Muğla-TR32|2001|410.0|
|||2002|390.0|
|||2003|392.0|
|||2004|419.0|
|||2005|400.0|
|||2006|419.0|
|||2007|404.0|
|||2008|439.0|
|||2009|515.0|
|||2010|536.0|
|||2011|506.0|
|||2012|568.0|
|||2013|543.0|
|||2014|483.0|
|||2015|542.0|
|||2016|499.0|
|||2017|578.0|
|||2018|545.0|
|||2019|620.0|
|||2020|563.0|
||Balıkesir, Çanakkale-TR22|2001|197.0|
|||2002|186.0|
|||2003|216.0|
|||2004|170.0|
|||2005|233.0|
|||2006|171.0|
|||2007|203.0|
|||2008|211.0|
|||2009|226.0|
|||2010|261.0|
|||2011|307.0|
|||2012|246.0|
|||2013|264.0|
|||2014|272.0|
|||2015|292.0|
|||2016|294.0|
|||2017|265.0|
|||2018|297.0|
|||2019|354.0|
|||2020|257.0|
||Bursa, Eskişehir, Bilecik-TR41|2001|359.0|
|||2002|374.0|
|||2003|340.0|
|||2004|365.0|
|||2005|407.0|
|||2006|408.0|
|||2007|405.0|
|||2008|416.0|
|||2009|501.0|
|||2010|560.0|
|||2011|573.0|
|||2012|615.0|
|||2013|595.0|
|||2014|586.0|
|||2015|670.0|
|||2016|613.0|
|||2017|619.0|
|||2018|658.0|
|||2019|727.0|
|||2020|651.0|
||Erzurum, Erzincan, Bayburt-TRA1|2001|36.0|
|||2002|65.0|
|||2003|37.0|
|||2004|36.0|
|||2005|30.0|
|||2006|38.0|
|||2007|46.0|
|||2008|54.0|
|||2009|59.0|
|||2010|59.0|
|||2011|54.0|
|||2012|44.0|
|||2013|68.0|
|||2014|58.0|
|||2015|62.0|
|||2016|67.0|
|||2017|56.0|
|||2018|69.0|
|||2019|86.0|
|||2020|60.0|
||Gaziantep, Adıyaman, Kilis-TRC1|2001|157.0|
|||2002|171.0|
|||2003|166.0|
|||2004|156.0|
|||2005|169.0|
|||2006|146.0|
|||2007|127.0|
|||2008|150.0|
|||2009|174.0|
|||2010|194.0|
|||2011|223.0|
|||2012|209.0|
|||2013|259.0|
|||2014|260.0|
|||2015|255.0|
|||2016|232.0|
|||2017|260.0|
|||2018|322.0|
|||2019|345.0|
|||2020|321.0|
||Hatay, Kahramanmaraş, Osmaniye-TR63|2001|245.0|
|||2002|253.0|
|||2003|235.0|
|||2004|230.0|
|||2005|218.0|
|||2006|226.0|
|||2007|225.0|
|||2008|247.0|
|||2009|255.0|
|||2010|297.0|
|||2011|330.0|
|||2012|317.0|
|||2013|311.0|
|||2014|368.0|
|||2015|314.0|
|||2016|352.0|
|||2017|357.0|
|||2018|428.0|
|||2019|539.0|
|||2020|423.0|
||İstanbul-TR10|2001|1490.0|
|||2002|1483.0|
|||2003|1414.0|
|||2004|1509.0|
|||2005|1675.0|
|||2006|1572.0|
|||2007|1690.0|
|||2008|1637.0|
|||2009|1946.0|
|||2010|1994.0|
|||2011|2073.0|
|||2012|2126.0|
|||2013|2162.0|
|||2014|2276.0|
|||2015|2207.0|
|||2016|2188.0|
|||2017|2185.0|
|||2018|2405.0|
|||2019|2581.0|
|||2020|2048.0|
||İzmir-TR31|2001|677.0|
|||2002|704.0|
|||2003|611.0|
|||2004|640.0|
|||2005|735.0|
|||2006|731.0|
|||2007|701.0|
|||2008|746.0|
|||2009|876.0|
|||2010|933.0|
|||2011|924.0|
|||2012|882.0|
|||2013|883.0|
|||2014|937.0|
|||2015|911.0|
|||2016|900.0|
|||2017|875.0|
|||2018|985.0|
|||2019|1007.0|
|||2020|828.0|
||Kastamonu, Çankırı, Sinop-TR82|2001|62.0|
|||2002|62.0|
|||2003|63.0|
|||2004|61.0|
|||2005|64.0|
|||2006|56.0|
|||2007|55.0|
|||2008|58.0|
|||2009|70.0|
|||2010|85.0|
|||2011|76.0|
|||2012|73.0|
|||2013|63.0|
|||2014|78.0|
|||2015|77.0|
|||2016|70.0|
|||2017|88.0|
|||2018|86.0|
|||2019|90.0|
|||2020|67.0|
||Kayseri, Sivas, Yozgat-TR72|2001|280.0|
|||2002|252.0|
|||2003|237.0|
|||2004|226.0|
|||2005|213.0|
|||2006|206.0|
|||2007|244.0|
|||2008|231.0|
|||2009|285.0|
|||2010|286.0|
|||2011|283.0|
|||2012|272.0|
|||2013|313.0|
|||2014|322.0|
|||2015|359.0|
|||2016|332.0|
|||2017|325.0|
|||2018|331.0|
|||2019|337.0|
|||2020|322.0|
||Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir-TR71|2001|198.0|
|||2002|224.0|
|||2003|209.0|
|||2004|211.0|
|||2005|208.0|
|||2006|165.0|
|||2007|197.0|
|||2008|196.0|
|||2009|233.0|
|||2010|241.0|
|||2011|246.0|
|||2012|247.0|
|||2013|245.0|
|||2014|222.0|
|||2015|234.0|
|||2016|213.0|
|||2017|225.0|
|||2018|232.0|
|||2019|244.0|
|||2020|257.0|
||Kocaeli, Sakarya, Düzce, Bolu, Yalova-TR42|2001|249.0|
|||2002|301.0|
|||2003|295.0|
|||2004|264.0|
|||2005|307.0|
|||2006|294.0|
|||2007|282.0|
|||2008|386.0|
|||2009|430.0|
|||2010|437.0|
|||2011|436.0|
|||2012|436.0|
|||2013|499.0|
|||2014|504.0|
|||2015|499.0|
|||2016|500.0|
|||2017|505.0|
|||2018|547.0|
|||2019|642.0|
|||2020|573.0|
||Konya, Karaman-TR52|2001|261.0|
|||2002|247.0|
|||2003|221.0|
|||2004|228.0|
|||2005|220.0|
|||2006|218.0|
|||2007|222.0|
|||2008|219.0|
|||2009|301.0|
|||2010|318.0|
|||2011|336.0|
|||2012|341.0|
|||2013|349.0|
|||2014|349.0|
|||2015|358.0|
|||2016|355.0|
|||2017|343.0|
|||2018|363.0|
|||2019|374.0|
|||2020|367.0|
||Malatya, Elazığ, Bingöl, Tunceli-TRB1|2001|69.0|
|||2002|91.0|
|||2003|92.0|
|||2004|87.0|
|||2005|94.0|
|||2006|98.0|
|||2007|77.0|
|||2008|88.0|
|||2009|104.0|
|||2010|140.0|
|||2011|122.0|
|||2012|139.0|
|||2013|144.0|
|||2014|154.0|
|||2015|121.0|
|||2016|127.0|
|||2017|111.0|
|||2018|155.0|
|||2019|181.0|
|||2020|174.0|
||Manisa, Afyonkarahisar, Kütahya, Uşak-TR33|2001|386.0|
|||2002|430.0|
|||2003|410.0|
|||2004|324.0|
|||2005|370.0|
|||2006|354.0|
|||2007|298.0|
|||2008|333.0|
|||2009|412.0|
|||2010|407.0|
|||2011|421.0|
|||2012|475.0|
|||2013|433.0|
|||2014|448.0|
|||2015|428.0|
|||2016|464.0|
|||2017|446.0|
|||2018|508.0|
|||2019|508.0|
|||2020|456.0|
||Mardin, Batman, Şırnak, Siirt-TRC3|2001|11.0|
|||2002|20.0|
|||2003|23.0|
|||2004|25.0|
|||2005|20.0|
|||2006|27.0|
|||2007|34.0|
|||2008|33.0|
|||2009|31.0|
|||2010|36.0|
|||2011|35.0|
|||2012|43.0|
|||2013|44.0|
|||2014|47.0|
|||2015|56.0|
|||2016|37.0|
|||2017|56.0|
|||2018|58.0|
|||2019|65.0|
|||2020|86.0|
||Samsun, Tokat, Çorum, Amasya-TR83|2001|230.0|
|||2002|260.0|
|||2003|250.0|
|||2004|258.0|
|||2005|257.0|
|||2006|221.0|
|||2007|216.0|
|||2008|246.0|
|||2009|255.0|
|||2010|299.0|
|||2011|299.0|
|||2012|283.0|
|||2013|272.0|
|||2014|287.0|
|||2015|327.0|
|||2016|292.0|
|||2017|297.0|
|||2018|368.0|
|||2019|354.0|
|||2020|306.0|
||Şanlıurfa, Diyarbakır-TRC2|2001|51.0|
|||2002|61.0|
|||2003|76.0|
|||2004|72.0|
|||2005|71.0|
|||2006|73.0|
|||2007|80.0|
|||2008|62.0|
|||2009|87.0|
|||2010|103.0|
|||2011|74.0|
|||2012|88.0|
|||2013|133.0|
|||2014|122.0|
|||2015|104.0|
|||2016|130.0|
|||2017|129.0|
|||2018|154.0|
|||2019|175.0|
|||2020|194.0|
||Tekirdağ, Edirne, Kırklareli-TR21|2001|146.0|
|||2002|153.0|
|||2003|174.0|
|||2004|158.0|
|||2005|174.0|
|||2006|160.0|
|||2007|179.0|
|||2008|191.0|
|||2009|251.0|
|||2010|252.0|
|||2011|261.0|
|||2012|217.0|
|||2013|231.0|
|||2014|288.0|
|||2015|285.0|
|||2016|250.0|
|||2017|273.0|
|||2018|368.0|
|||2019|358.0|
|||2020|314.0|
||Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane-TR90|2001|156.0|
|||2002|166.0|
|||2003|176.0|
|||2004|171.0|
|||2005|150.0|
|||2006|151.0|
|||2007|160.0|
|||2008|142.0|
|||2009|186.0|
|||2010|158.0|
|||2011|187.0|
|||2012|212.0|
|||2013|190.0|
|||2014|225.0|
|||2015|215.0|
|||2016|211.0|
|||2017|224.0|
|||2018|257.0|
|||2019|266.0|
|||2020|271.0|
||Van, Muş, Bitlis, Hakkari-TRB2|2001|11.0|
|||2002|15.0|
|||2003|14.0|
|||2004|14.0|
|||2005|16.0|
|||2006|17.0|
|||2007|14.0|
|||2008|21.0|
|||2009|38.0|
|||2010|36.0|
|||2011|39.0|
|||2012|30.0|
|||2013|47.0|
|||2014|41.0|
|||2015|51.0|
|||2016|41.0|
|||2017|37.0|
|||2018|46.0|
|||2019|81.0|
|||2020|66.0|
||Zonguldak, Karabük, Bartın-TR81|2001|118.0|
|||2002|154.0|
|||2003|165.0|
|||2004|116.0|
|||2005|118.0|
|||2006|110.0|
|||2007|128.0|
|||2008|122.0|
|||2009|163.0|
|||2010|133.0|
|||2011|142.0|
|||2012|132.0|
|||2013|123.0|
|||2014|146.0|
|||2015|129.0|
|||2016|123.0|
|||2017|101.0|
|||2018|159.0|
|||2019|171.0|
|||2020|147.0|
|Eşlerin yaş farkı:6|Adana, Mersin-TR62|2001|431.0|
|||2002|412.0|
|||2003|398.0|
|||2004|366.0|
|||2005|372.0|
|||2006|367.0|
|||2007|362.0|
|||2008|402.0|
|||2009|471.0|
|||2010|429.0|
|||2011|516.0|
|||2012|525.0|
|||2013|516.0|
|||2014|537.0|
|||2015|551.0|
|||2016|543.0|
|||2017|540.0|
|||2018|622.0|
|||2019|627.0|
|||2020|601.0|
||Ağrı, Kars, Iğdır, Ardahan-TRA2|2001|27.0|
|||2002|36.0|
|||2003|34.0|
|||2004|29.0|
|||2005|27.0|
|||2006|29.0|
|||2007|32.0|
|||2008|33.0|
|||2009|29.0|
|||2010|41.0|
|||2011|28.0|
|||2012|29.0|
|||2013|36.0|
|||2014|38.0|
|||2015|43.0|
|||2016|41.0|
|||2017|45.0|
|||2018|60.0|
|||2019|63.0|
|||2020|43.0|
||Ankara-TR51|2001|541.0|
|||2002|562.0|
|||2003|511.0|
|||2004|509.0|
|||2005|577.0|
|||2006|573.0|
|||2007|621.0|
|||2008|588.0|
|||2009|703.0|
|||2010|744.0|
|||2011|799.0|
|||2012|833.0|
|||2013|828.0|
|||2014|771.0|
|||2015|797.0|
|||2016|751.0|
|||2017|753.0|
|||2018|861.0|
|||2019|949.0|
|||2020|824.0|
||Antalya, Isparta, Burdur-TR61|2001|259.0|
|||2002|263.0|
|||2003|261.0|
|||2004|217.0|
|||2005|277.0|
|||2006|329.0|
|||2007|293.0|
|||2008|342.0|
|||2009|374.0|
|||2010|464.0|
|||2011|431.0|
|||2012|451.0|
|||2013|484.0|
|||2014|503.0|
|||2015|511.0|
|||2016|429.0|
|||2017|450.0|
|||2018|542.0|
|||2019|571.0|
|||2020|474.0|
||Aydın, Denizli, Muğla-TR32|2001|312.0|
|||2002|366.0|
|||2003|349.0|
|||2004|325.0|
|||2005|362.0|
|||2006|372.0|
|||2007|370.0|
|||2008|412.0|
|||2009|447.0|
|||2010|441.0|
|||2011|470.0|
|||2012|465.0|
|||2013|521.0|
|||2014|496.0|
|||2015|517.0|
|||2016|496.0|
|||2017|471.0|
|||2018|553.0|
|||2019|610.0|
|||2020|489.0|
||Balıkesir, Çanakkale-TR22|2001|195.0|
|||2002|165.0|
|||2003|192.0|
|||2004|159.0|
|||2005|159.0|
|||2006|189.0|
|||2007|178.0|
|||2008|185.0|
|||2009|229.0|
|||2010|213.0|
|||2011|230.0|
|||2012|228.0|
|||2013|209.0|
|||2014|253.0|
|||2015|243.0|
|||2016|232.0|
|||2017|225.0|
|||2018|250.0|
|||2019|267.0|
|||2020|216.0|
||Bursa, Eskişehir, Bilecik-TR41|2001|332.0|
|||2002|320.0|
|||2003|342.0|
|||2004|304.0|
